bleu, triples
0.263560136,11
0.187885926,20
0.664047101,11
0.711803448,6
1,13
0.467137978,7
0.643187022,10
0.353176008,17
0.265084561,6
0.362151385,12
0.516973154,10
1,6
0.430125085,9
0.569836378,10
0.605543865,10
1,6
0.594603558,8
1,8
0.60252861,7
0.526793492,6
0.680374933,9
0.516973154,10
0.467137978,10
1,6
0.516973154,13
0.427287006,10
0.594603558,7
0.503321045,8
0.751477293,11
0.846481725,11
0.058042859,7
1,8
1,8
0.367012461,5
0.605543865,9
0.430125085,8
0.364093024,7
0.384981501,7
0.547518254,8
0.41716227,6
0.351043583,9
0.594603558,6
0.555523807,9
0.537284966,6
0.54444606,7
1,12
0.840896415,10
0.451801002,8
0.508132748,8
0.8668779,9
0.643458884,8
1,12
0.5,11
0.524932594,9
0.461493737,8
0.643187022,11
0.643187022,6
0.5,11
0.388068429,6
0.516973154,12
0.516973154,10
1,12
1,10
0.454801905,6
0.459661358,11
0.508132748,7
0.524932594,9
0.673182138,9
0,7
0.795270729,6
0.448270032,6
0.846481725,7
0.476011655,9
0.376849916,9
1,8
1,8
0.751477293,8
0.5,10
0.5,15
0.405649724,9
0.643458884,12
0.448270032,6
0.417463527,6
0.562341325,8
0.47398785,7
0.701396727,10
0.882496903,10
0.540853661,7
0.716531311,7
0.846481725,8
1,11
0.8668779,12
0.367012461,7
0.562341325,10
0.594603558,12
0.594603558,11
0.320191183,11
0.428881942,7
0.454801905,8
0.78254229,9
0.759835686,9
0.555523807,11
0.840896415,8
0.445921064,10
0.840896415,8
0.529876531,9
0.095696497,7
0.488923022,11
0.488923022,11
0.494738591,6
0.643458884,11
0.331633195,8
0.388068429,6
0.384981501,6
0.397211341,7
1,11
0.202589485,6
0.382979567,12
0.451801002,10
1,6
0.431670011,17
0.509523147,8
0.441791823,7
1,8
0.547518254,13
0.46086364,8
0.751477293,9
0.751477293,9
0.451801002,9
0.8668779,9
0.882496903,10
1,10
0.716531311,6
1,7
0.8668779,8
0.650059326,12
1,10
1,8
0.691441569,10
0.48235608,8
0.427287006,13
0.485491772,11
0.368893973,10
1,8
0.376849916,7
0.222300379,6
0.341077255,5
0.731110446,11
0.48354474,9
0.555523807,8
0.59116026,12
0.503321045,8
0.58995654,8
0.446831072,11
0.277683528,11
0.305558963,8
0.24808415,8
0.375311927,13
0.350911977,8
0.325879805,13
0.643458884,8
0.488923022,10
0.488923022,8
0.308619463,9
0.701396727,9
0.660632864,12
0.846481725,7
0.516973154,9
0.366511363,7
1,9
0.516973154,8
0.35065941,6
0.454801905,11
0.48235608,10
0.384981501,5
0.387538583,8
0.609444548,7
0.461493737,6
0.46086364,9
0.795270729,14
0.654890787,19
0.322601352,9
0.417226145,13
0.435643554,8
0.631196908,12
0.305924358,7
0.628016973,10
0.158824817,10
0.187443091,8
0.607679581,14
0.35361129,10
0.369565606,16
0.245029686,32
0.180624946,12
0.392354221,15
0.600428771,11
0.56386531,10
0.308569601,19
0.53209626,13
0.296174201,37
0.306545454,15
0.254066374,14
0.223996139,30
0.393123024,15
0.29963847,29
0.366331103,10
0.421395295,10
0.359678959,10
0.16499713,22
0.805323596,22
0.532946263,11
0.367414549,10
0.341077255,9
0.412871318,11
0.477999535,12
0.228941569,23
0.251242185,12
0.415350924,17
0.143078714,15
0.432369436,14
0.750623854,15
0.459149769,11
0.210113858,49
0.419997398,14
0.305761638,19
0.633783488,6
0.251390689,15
