 triples,bleu
6,0.604275079
6,0.510029457
8,1
8,1
8,1
10,0.555523807
8,0.846481725
4,0.540853661
9,0.846481725
6,0.550695315
7,0.5
9,0.638943104
7,0.41716227
6,0.508132748
9,0.430125085
9,0.818730753
6,1
2,0.255073358
7,0.60653066
6,0.358920963
4,0.670320046
8,1
6,0.428881942
8,1
6,0.47398785
8,0.846481725
6,0.494738591
6,1
9,0.405057699
4,0.367879441
8,0.428881942
7,0.718608224
4,0.263597138
6,0.388068429
6,0.439586609
10,0.448152602
7,1
8,1
4,0.260130048
8,1
6,0.718608224
6,0.509523147
4,0
9,1
4,0.550695315
6,0.388068429
9,0.509523147
7,0.364093024
7,0.809106712
6,0.670320046
8,0.511507812
4,0.182768048
10,0.467137978
8,0.537284966
15,0.171174196
21,0.326822997
18,0.2288276
8,0.48235608
11,0.562341325
8,0.365555223
33,0.133117384
23,0.142433307
7,0.731110446
14,0.24117804
26,0.147641212
13,0.478554392
11,0.263560136
20,0.187885926
11,0.664047101
6,0.711803448
13,1
7,0.467137978
10,0.643187022
17,0.353176008
6,0.265084561
12,0.362151385
10,0.516973154
6,1
9,0.430125085
10,0.569836378
10,0.605543865
6,1
8,0.594603558
8,1
7,0.60252861
6,0.526793492
9,0.680374933
10,0.516973154
10,0.467137978
6,1
13,0.516973154
10,0.427287006
7,0.594603558
8,0.503321045
11,0.751477293
11,0.846481725
7,0.058042859
8,1
8,1
5,0.367012461
9,0.605543865
8,0.430125085
7,0.364093024
7,0.384981501
8,0.547518254
6,0.41716227
9,0.351043583
6,0.594603558
9,0.555523807
6,0.537284966
7,0.54444606
12,1
10,0.840896415
8,0.451801002
8,0.508132748
9,0.8668779
8,0.643458884
12,1
11,0.5
9,0.524932594
8,0.461493737
11,0.643187022
6,0.643187022
11,0.5
6,0.388068429
12,0.516973154
10,0.516973154
12,1
10,1
6,0.454801905
11,0.459661358
7,0.508132748
9,0.524932594
9,0.673182138
7,0
6,0.795270729
6,0.448270032
7,0.846481725
9,0.476011655
9,0.376849916
8,1
8,1
8,0.751477293
10,0.5
15,0.5
9,0.405649724
12,0.643458884
6,0.448270032
6,0.417463527
8,0.562341325
7,0.47398785
10,0.701396727
10,0.882496903
7,0.540853661
7,0.716531311
8,0.846481725
11,1
12,0.8668779
7,0.367012461
10,0.562341325
12,0.594603558
11,0.594603558
11,0.320191183
7,0.428881942
8,0.454801905
9,0.78254229
9,0.759835686
11,0.555523807
8,0.840896415
10,0.445921064
8,0.840896415
9,0.529876531
7,0.095696497
11,0.488923022
11,0.488923022
6,0.494738591
11,0.643458884
8,0.331633195
6,0.388068429
6,0.384981501
7,0.397211341
11,1
6,0.202589485
12,0.382979567
10,0.451801002
6,1
17,0.431670011
8,0.509523147
7,0.441791823
8,1
13,0.547518254
8,0.46086364
9,0.751477293
9,0.751477293
9,0.451801002
9,0.8668779
10,0.882496903
10,1
6,0.716531311
7,1
8,0.8668779
12,0.650059326
10,1
8,1
10,0.691441569
8,0.48235608
13,0.427287006
11,0.485491772
